Unique ID,Sex,Age,Year Banded,2022,2023,Site,Cohort,CH
145,M,ASY,2021,1,1,WI,C,11
146,M,ASY,2022,1,0,WI,C,10
147,M,ASY,2021,1,0,WI,C,10
148,M,ASY,2021,1,0,WI,C,10
149,M,ASY,2021,1,1,WI,C,11
150,M,ASY,2022,1,1,WI,C,11
151,M,ASY,2021,1,0,WI,C,10
152,M,ASY,2021,1,0,WI,C,10
153,M,ASY,2021,1,1,WI,C,11
154,M,ASY,2022,1,1,WI,C,11
155,M,ASY,2021,1,1,WI,C,11
156,M,ASY,2022,1,0,WI,C,10
157,M,ASY,2021,1,0,WI,C,10
158,M,ASY,2021,1,0,WI,C,10
159,M,ASY,2021,1,0,WI,C,10
160,M,ASY,2021,1,0,WI,C,10
161,M,SY,2021,1,1,WI,C,11
162,M,ASY,2022,1,0,WI,C,10
163,M,ASY,2021,1,0,WI,C,10
164,M,ASY,2021,1,0,WI,C,10
165,M,SY,2021,1,1,WI,C,11
166,M,ASY,2022,1,1,WI,C,11
167,M,ASY,2021,1,0,WI,C,10
168,M,SY,2021,1,0,WI,C,10
169,M,ASY,2021,1,1,WI,C,11
170,M,ASY,2022,1,1,WI,C,11
171,M,ASY,2021,1,0,WI,C,10
172,M,ASY,2021,1,0,WI,C,10
173,M,ASY,2021,1,0,WI,C,10
174,M,ASY,2021,1,1,WI,C,11
175,M,ASY,2022,1,0,WI,C,10
176,F,ASY,2021,1,0,WI,T,10
177,M,ASY,2021,1,0,WI,T,10
178,F,SY,2021,1,0,WI,T,10
179,F,ASY,2021,1,0,WI,T,10
180,M,ASY,2021,1,0,WI,T,10
181,M,ASY,2021,1,0,WI,T,10
182,M,ASY,2021,1,1,WI,T,11
183,M,ASY,2022,1,0,WI,T,10
184,M,SY,2021,1,0,WI,T,10
185,F,ASY,2021,1,1,WI,T,11
186,F,ASY,2022,1,0,WI,T,10
187,F,ASY,2021,1,0,WI,T,10
188,F,ASY,2021,1,0,WI,T,10
189,M,ASY,2021,1,1,WI,T,11
190,M,ASY,2022,1,0,WI,T,10
191,M,ASY,2021,1,0,WI,T,10
192,F,ASY,2021,1,0,WI,T,10
193,F,ASY,2021,1,0,WI,T,10
194,F,ASY,2021,1,0,WI,T,10
195,F,ASY,2021,1,0,WI,T,10
196,F,ASY,2021,1,0,WI,T,10
197,M,ASY,2021,1,0,WI,T,10
198,F,ASY,2021,1,0,WI,T,10
199,F,ASY,2021,1,0,WI,T,10
200,F,ASY,2021,1,0,WI,T,10
201,F,SY,2021,1,0,WI,T,10
202,F,ASY,2021,1,1,WI,T,11
203,F,ASY,2022,1,0,WI,T,10
204,F,ASY,2021,1,0,WI,T,10
205,F,ASY,2021,1,0,WI,T,10
206,F,ASY,2021,1,0,WI,T,10
207,F,ASY,2021,1,0,WI,T,10
208,M,ASY,2021,1,1,WI,T,11
209,M,ASY,2022,1,0,WI,T,10
210,M,ASY,2021,1,0,WI,T,10
211,M,ASY,2021,1,1,WI,T,11
212,M,ASY,2022,1,0,WI,T,10
213,M,ASY,2021,1,0,WI,T,10
214,M,ASY,2021,1,0,WI,T,10
215,M,ASY,2021,1,0,WI,T,10
216,M,ASY,2021,1,0,WI,T,10
217,M,ASY,2022,1,0,WI,C,10
218,M,ASY,2022,1,1,WI,C,11
219,M,ASY,2022,1,1,WI,C,11
220,M,ASY,2022,1,1,WI,C,11
221,M,ASY,2022,1,0,WI,C,10
222,M,ASY,2022,1,0,WI,C,10
223,M,ASY,2022,1,1,WI,C,11
224,M,ASY,2022,1,0,WI,C,10
225,M,ASY,2022,1,0,WI,C,10
226,F,ASY,2022,1,0,WI,C,10
227,M,ASY,2022,1,1,WI,C,11
228,M,ASY,2022,1,0,WI,C,10
229,F,ASY,2022,1,0,WI,C,10
230,M,ASY,2022,1,0,WI,C,10
231,F,SY,2022,1,0,WI,C,10
232,F,SY,2022,1,0,WI,C,10
233,M,ASY,2022,1,1,WI,C,11
234,M,ASY,2022,1,0,WI,C,10
235,M,ASY,2022,1,0,WI,C,10
236,F,SY,2022,1,0,WI,T,10
237,M,SY,2022,1,0,WI,C,10
238,M,SY,2022,1,0,WI,C,10
239,M,ASY,2022,1,1,WI,C,11
240,M,SY,2022,1,1,WI,C,11
241,M,ASY,2022,1,1,WI,C,11
242,M,ASY,2022,1,0,WI,C,10
243,M,ASY,2022,1,1,WI,C,11
244,M,ASY,2022,1,0,WI,C,10
245,M,SY,2022,1,0,WI,C,10
246,M,SY,2022,1,1,WI,C,11
247,M,ASY,2022,1,0,WI,C,10
248,M,ASY,2022,1,1,WI,C,11
249,M,ASY,2022,1,0,WI,C,10
250,M,SY,2022,1,1,WI,C,11
251,M,ASY,2022,1,1,WI,C,11
252,M,ASY,2022,1,0,WI,C,10
253,M,ASY,2022,1,0,WI,C,10
254,M,SY,2022,1,0,WI,C,10
255,M,ASY,2022,1,1,WI,C,11
256,F,SY,2022,1,0,WI,C,10
257,M,SY,2022,1,0,WI,C,10
258,M,ASY,2022,1,1,WI,C,11
259,M,ASY,2022,1,0,WI,C,10
260,M,SY,2022,1,1,WI,C,11
261,M,ASY,2022,1,0,WI,T,10
262,M,ASY,2022,1,0,WI,T,10
263,F,ASY,2022,1,0,WI,T,10
264,F,ASY,2022,1,1,WI,T,11
265,F,ASY,2022,1,1,WI,T,11
266,M,ASY,2022,1,0,WI,T,10
267,F,SY,2022,1,0,WI,T,10
268,F,SY,2022,1,0,WI,T,10
269,F,ASY,2022,1,0,WI,T,10
270,F,SY,2022,1,1,WI,T,11
271,F,SY,2022,1,0,WI,T,10
272,M,SY,2022,1,0,WI,T,10
273,F,SY,2022,1,1,WI,T,11
274,F,SY,2022,1,0,WI,T,10
275,F,ASY,2022,1,0,WI,T,10
276,M,ASY,2022,1,0,WI,T,10
277,F,SY,2022,1,1,WI,T,11
278,F,ASY,2022,1,1,WI,T,11
279,F,ASY,2022,1,0,WI,T,10
280,F,SY,2022,1,0,WI,T,10
281,F,SY,2022,1,0,WI,T,10
282,F,SY,2022,1,0,WI,T,10
283,F,SY,2022,1,0,WI,T,10
284,F,ASY,2022,1,0,WI,T,10
285,M,ASY,2022,1,0,WI,T,10
286,F,SY,2022,1,1,WI,T,11
287,F,SY,2022,1,0,WI,T,10
288,F,SY,2022,1,1,WI,T,11
289,M,SY,2022,1,1,WI,T,11
290,M,ASY,2022,1,1,WI,T,11
291,M,SY,2022,1,1,WI,T,11
292,M,ASY,2022,1,0,WI,T,10
293,M,ASY,2022,1,1,WI,T,11
294,M,SY,2022,1,0,WI,T,10
295,M,SY,2022,1,0,WI,T,10
296,M,SY,2022,1,0,WI,T,10
297,M,SY,2022,1,0,WI,T,10
298,M,ASY,2022,1,1,WI,T,11
299,M,ASY,2022,1,1,WI,T,11
300,M,ASY,2022,1,0,WI,T,10
301,M,SY,2022,1,1,WI,T,11
302,M,ASY,2022,1,1,WI,T,11
303,F,ASY,2022,1,0,WI,T,10
304,M,SY,2022,1,0,NC,C,10
305,M,ASY,2022,1,0,NC1,T,10
306,M,ASY,2022,1,0,NC1,T,10
307,M,ASY,2022,1,1,NC1,C,11
308,M,ASY,2022,1,0,NC,T,10
309,M,ASY,2022,1,1,NC,T,11
310,M,SY,2022,1,0,NC,T,10
311,M,ASY,2022,1,1,NC,T,11
312,M,SY,2022,1,0,NC,T,10
313,M,ASY,2022,1,0,NC,C,10
314,M,ASY,2021,1,0,TN,T,10
315,M,ASY,2021,1,1,TN,T,11
316,M,ASY,2022,1,0,TN,T,10
