Bird ID,Sex,Age,2021,2022,2023,Site
2770-85792,M,ASY,0,1,0,WI
2970-29184,M,SY,0,1,0,WI
2770-85794,M,SY,0,1,1,WI
2970-29186,M,ASY,0,1,0,WI
2770-85797,M,ASY,0,1,1,WI
2970-29189,M,ASY,0,1,0,WI
2970-29190,M,SY,0,1,1,WI
2770-85799,M,ASY,0,1,1,WI
2770-85800,M,ASY,0,1,0,WI
2970-29191,M,ASY,0,1,0,WI
2970-29192,M,SY,0,1,0,WI
2970-29196,M,ASY,0,1,1,WI
2970-29198,F,SY,0,1,0,WI
2970-29223,M,SY,0,1,0,WI
2970-29148,M,ASY,0,1,1,WI
2970-29224,M,ASY,0,1,0,WI
2970-29226,M,SY,0,1,1,WI
2770-85779,M,ASY,0,1,0,WI
2770-85782,M,ASY,0,1,0,WI
2770-85784,F,ASY,0,1,0,WI
2770-85785,F,ASY,0,1,1,WI
2770-85786,F,ASY,0,1,1,WI
2970-29173,M,ASY,0,1,0,WI
2770-85789,F,SY,0,1,0,WI
2970-29175,F,SY,0,1,0,WI
2770-85791,F,ASY,0,1,0,WI
2770-85793,F,SY,0,1,1,WI
2970-29183,F,SY,0,1,0,WI
2970-29182,M,SY,0,1,0,WI
2970-29185,F,SY,0,1,1,WI
2770-85795,F,SY,0,1,0,WI
2770-85796,F,ASY,0,1,0,WI
2970-29187,M,ASY,0,1,0,WI
2770-85798,F,SY,0,1,1,WI
2970-29188,F,ASY,0,1,1,WI
2770-29201,F,ASY,0,1,0,WI
2970-29193,F,SY,0,1,0,WI
2970-29194,F,SY,0,1,0,WI
2970-29195,F,SY,0,1,0,WI
2970-29197,F,SY,0,1,0,WI
2970-29200,F,ASY,0,1,0,WI
2970-29207,M,ASY,0,1,0,WI
2970-29206,F,SY,0,1,1,WI
2970-29199,F,SY,0,1,0,WI
2970-29208,F,SY,0,1,1,WI
2970-29209,M,SY,0,1,1,WI
2970-29210,M,ASY,0,1,1,WI
2970-29211,M,SY,0,1,1,WI
2970-29212,M,ASY,0,1,0,WI
2970-29213,M,ASY,0,1,1,WI
2970-29214,M,SY,0,1,0,WI
2970-29215,M,SY,0,1,0,WI
2970-29216,M,SY,0,1,0,WI
2970-29217,M,SY,0,1,0,WI
2970-29218,M,ASY,0,1,1,WI
2970-29219,M,ASY,0,1,1,WI
2970-29220,M,ASY,0,1,0,WI
2970-29221,M,SY,0,1,1,WI
2970-29222,M,ASY,0,1,1,WI
2970-29225,F,ASY,0,1,0,WI
2900-14863,M,ASY,1,1,0,PA1
2900-14866,M,ASY,1,0,0,PA1
2900-14898,F,ASY,1,0,0,PA1
2900-14867,M,ASY,1,1,0,PA1
2900-14868,M,ASY,1,1,0,PA1
2900-14869,F,ASY,1,0,0,PA1
2770-17496,M,ASY,1,1,0,PA1
2900-14870,M,SY,1,0,0,PA1
2900-14871,M,SY,1,1,0,PA1
2900-14872,M,ASY,1,1,0,PA1
2900-14878,M,ASY,1,0,0,PA1
2900-14879,M,ASY,1,0,0,PA1
2900-14880,M,SY,1,0,0,PA1
2900-14881,M,SY,1,0,0,PA1
2900-14895,M,ASY,1,0,0,PA
2900-14864,M,ASY,1,0,0,PA
2900-14030,M,ASY,1,1,0,PA
2900-14031,M,ASY,1,0,0,PA
2900-14033,M,ASY,1,0,0,PA
2900-14034,M,ASY,1,0,0,PA
2900-14035,M,ASY,1,0,0,PA
2900-14037,M,ASY,1,0,0,PA
2900-14038,M,ASY,1,0,0,PA
2900-14039,M,ASY,1,0,0,PA
2900-14040,M,ASY,1,0,0,PA
2900-14044,M,ASY,1,1,0,PA
2900-14046,M,ASY,1,0,0,PA1
2900-14047,M,AHY,1,0,0,PA1
2900-14897,M,ASY,1,0,0,PA1
2510-49981,M,ASY,1,0,0,PA1
2900-14873,M,SY,1,0,0,PA1
2900-14874,M,ASY,1,0,0,PA1
2900-14883,F,SY,1,0,0,PA
2900-14882,M,ASY,1,1,0,PA
2900-14884,F,SY,1,0,0,PA
2900-14885,M,SY,1,0,0,PA
2900-14886,M,SY,1,0,0,PA
2900-14887,F,ASY,1,0,0,PA
2900-14888,M,SY,1,0,0,PA
2900-14889,M,ASY,1,1,0,PA
2900-14890,F,SY,1,0,0,PA
2900-14891,F,ASY,1,0,0,PA
2900-14892,M,ASY,1,0,0,PA
2900-14893,M,ASY,1,0,0,PA
2900-14894,F,SY,1,0,0,PA
2970-15211,M,SY,0,1,0,PA
2970-15212,F,AHY,0,1,0,PA
2970-15213,M,ASY,0,1,0,PA
2970-15214,M,SY,0,1,0,PA
2970-15215,F,ASY,0,1,0,PA
2970-15216,M,SY,0,1,0,PA
2970-15217,F,ASY,0,1,1,PA
2970-15218,M,ASY,0,1,1,PA
2970-15219,M,SY,0,1,0,PA
2970-15220,M,AHY,0,1,0,PA
2970-15221,M,ASY,0,1,0,PA
2970-15222,M,ASY,0,1,0,PA
2970-15223,F,AHY,0,1,0,PA
2970-15224,F,SY,0,1,0,PA
2970-15225,F,SY,0,1,0,PA
2970-15226,M,AHY,0,1,1,PA
2970-15227,M,ASY,0,1,0,PA
2970-15228,M,SY,0,1,0,PA
2970-15229,F,ASY,0,1,0,PA
2970-15233,M,ASY,0,1,0,PA
2970-15230,F,SY,0,1,0,PA
2970-15231,M,SY,0,1,0,PA
2970-15232,M,ASY,0,1,1,PA
2970-15234,F,ASY,0,1,1,PA
2970-15235,M,SY,0,1,0,PA
2970-15236,M,ASY,0,1,0,PA
2970-15237,M,ASY,0,1,0,PA
2970-15238,F,ASY,0,1,0,PA
