Bird ID,2021,2022,2023,Tag Binary,Site,Age
193,0,1,1,1,WI,ASY
194,0,1,1,1,WI,ASY
195,0,1,0,1,WI,SY
196,0,1,1,1,WI,SY
197,0,1,0,1,WI,SY
198,0,1,0,1,WI,SY
199,0,1,0,1,WI,ASY
200,0,1,0,1,WI,SY
201,0,1,1,1,WI,ASY
202,0,1,0,1,WI,ASY
203,0,1,1,1,WI,SY
204,0,1,1,1,WI,SY
205,0,1,1,1,WI,SY
206,0,1,1,1,WI,SY
207,0,1,0,1,WI,ASY
208,0,1,0,1,WI,ASY
209,0,1,1,1,WI,ASY
210,0,1,0,1,WI,SY
211,0,1,0,1,WI,ASY
212,0,1,1,1,WI,ASY
213,0,0,0,0,PA1,ASY
214,1,1,1,1,PA1,ASY
215,1,1,1,1,PA1,ASY
216,1,1,1,1,PA1,ASY
217,0,0,0,0,PA1,ASY
218,1,1,1,1,PA1,ASY
219,1,1,1,1,PA1,ASY
220,1,1,1,1,PA1,SY
221,1,1,1,1,PA1,SY
222,1,1,1,1,PA1,ASY
223,0,0,0,0,PA1,ASY
224,0,0,0,0,PA1,ASY
225,0,0,0,0,PA1,SY
226,0,0,0,0,PA1,SY
227,0,0,0,0,PA,ASY
228,1,1,1,1,PA,ASY
229,1,1,1,1,PA,ASY
230,1,1,1,1,PA,ASY
231,1,1,1,1,PA,ASY
232,0,0,0,0,PA,ASY
233,1,1,1,1,PA,ASY
234,1,1,1,1,PA,ASY
235,1,1,1,1,PA,ASY
236,1,1,1,1,PA,ASY
237,1,1,1,1,PA,ASY
238,0,0,0,0,PA,ASY
239,1,1,1,1,PA1,ASY
240,1,1,1,1,PA1,AHY
241,1,1,1,1,PA1,ASY
242,0,0,0,0,PA1,ASY
243,0,0,0,0,PA1,SY
244,0,0,0,0,PA1,ASY
245,1,1,1,1,PA,SY
246,0,0,0,0,PA,ASY
247,1,1,1,1,PA,SY
248,0,0,0,0,PA,SY
249,0,0,0,0,PA,SY
250,0,0,0,0,PA,ASY
251,0,0,0,0,PA,SY
252,0,0,0,0,PA,ASY
253,1,1,1,1,PA,SY
254,1,1,1,1,PA,ASY
255,0,0,0,0,PA,ASY
256,0,0,0,0,PA,ASY
257,1,1,1,1,PA,SY
258,0,1,1,1,PA,SY
259,0,1,1,1,PA,AHY
260,0,0,0,0,PA,ASY
261,0,0,0,0,PA,SY
262,0,1,1,1,PA,ASY
263,0,0,0,0,PA,SY
264,0,1,0,1,PA,ASY
265,0,1,0,1,PA,ASY
266,0,1,1,1,PA,SY
267,0,0,0,0,PA,AHY
268,0,0,0,0,PA,ASY
269,0,0,0,0,PA,ASY
270,0,1,1,1,PA,AHY
271,0,1,1,1,PA,SY
272,0,0,0,0,PA,SY
273,0,0,0,0,PA,AHY
274,0,0,0,0,PA,ASY
275,0,1,1,1,PA,SY
276,0,1,1,1,PA,ASY
277,0,1,1,1,PA,ASY
278,0,1,1,1,PA,SY
279,0,1,1,1,PA,SY
280,0,1,0,1,PA,ASY
281,0,1,1,1,PA,ASY
282,0,1,1,1,PA,SY
283,0,1,1,1,PA,ASY
284,0,1,1,1,PA,ASY
285,0,1,1,1,PA,ASY
286,NA,0,0,0,NC,SY
287,NA,1,1,1,NC,ASY
288,NA,0,0,0,NC,ASY
289,NA,1,0,1,NC,ASY
290,NA,1,1,1,NC,SY
291,NA,0,0,0,VA,ASY
292,NA,0,0,0,VA,ASY
293,NA,1,1,1,VA,ASY
294,NA,0,0,0,VA,AHY
295,NA,0,0,0,VA,ASY
296,NA,0,0,0,VA,ASY
297,NA,0,0,0,VA,ASY
298,NA,0,0,0,VA,ASY
299,NA,0,0,0,VA,SY
300,NA,0,0,0,VA,SY
301,NA,0,0,0,VA,ASY
302,NA,1,1,1,VA,ASY
303,NA,0,0,0,VA,SY
304,NA,1,1,1,VA,ASY
305,NA,0,0,0,VA,ASY
306,NA,1,1,1,VA,AHY
307,NA,1,1,1,VA,ASY
308,NA,0,0,0,VA,ASY
309,NA,0,0,0,VA,SY
310,NA,0,0,0,VA,ASY
311,NA,0,0,0,VA,SY
312,NA,0,0,0,VA,ASY
313,NA,0,0,0,VA,ASY
314,NA,0,0,0,VA,SY
315,NA,0,0,0,VA,ASY
316,NA,0,0,0,VA,ASY
317,NA,0,0,0,VA,SY
318,NA,1,1,1,VA,AHY
319,NA,1,1,1,VA,SY
320,NA,1,1,1,VA,AHY
321,NA,0,0,0,VA,ASY
322,NA,1,1,1,VA,ASY
323,NA,0,0,0,VA,ASY
324,NA,1,1,1,VA,SY
325,NA,0,0,0,VA,ASY
326,NA,0,0,0,VA,ASY
327,NA,1,1,1,VA,SY
328,NA,0,0,0,VA,FL
329,NA,0,0,0,VA,FL
330,NA,0,0,0,VA,FL
331,NA,0,0,0,VA,FL
332,NA,0,0,0,VA,SY
333,NA,1,1,1,VA,ASY
334,NA,1,1,1,VA,ASY
335,NA,1,1,1,KY,SY
336,NA,1,1,1,KY,SY
337,NA,1,1,1,KY,SY
338,NA,1,1,1,KY,SY
339,NA,1,1,1,NCK,SY
340,NA,0,0,0,NCK,ASY
341,NA,0,0,0,NCK,SY
342,NA,1,1,1,NCK,SY
343,NA,1,1,1,NCK,ASY
344,NA,1,1,1,NCK,ASY
345,NA,0,0,0,NCK,SY
346,NA,1,1,1,NCK,SY
347,NA,1,1,1,NCK,ASY
348,NA,0,0,0,NCK,SY
349,NA,1,1,1,NCK,ASY
350,NA,0,0,0,NCK,SY
351,NA,0,0,0,NCK,ASY
352,NA,0,0,0,NCK,ASY
353,NA,0,0,0,NCK,AHY
354,NA,1,1,1,NCK,ASY
355,NA,1,1,1,NCK,SY
356,NA,0,0,0,NCK,ASY
357,NA,1,1,1,NCK,ASY
358,NA,0,0,0,NCK,ASY
359,NA,0,0,0,NCK,ASY
360,NA,1,1,1,NCK,ASY
361,NA,1,1,1,NCK,ASY
362,NA,1,1,1,NCK,SY
363,NA,0,0,0,NCK,ASY
364,NA,0,0,0,MN,SY
365,NA,0,0,0,MN,ASY
366,NA,1,1,1,MN,ASY
367,NA,1,1,1,MN,SY
368,NA,1,1,1,MN,SY
369,NA,1,1,1,MN,SY
370,NA,1,1,1,VA,A8Y
371,NA,0,0,0,MNB,ASY
372,NA,1,1,1,MNB,ASY
373,NA,0,0,0,MNB,ASY
374,NA,1,1,1,MNB,ASY
375,NA,1,1,1,MNB,ASY
376,NA,1,1,1,MNB,ASY
377,NA,1,1,1,MNB,SY
378,NA,0,0,0,MNB,ASY
379,NA,1,1,1,MNB,ASY
380,NA,1,1,1,MNB,ASY
381,NA,1,1,1,MNB,ASY
382,NA,1,1,1,MNB,ASY
383,NA,1,1,1,MNB,ASY
384,NA,1,1,1,MNB,ASY
385,NA,1,1,1,MNB,ASY
386,NA,0,0,0,MNB,ASY
387,NA,0,0,0,MNB,ASY
388,NA,1,1,1,MNB,ASY
389,NA,0,0,0,MNB,ASY
390,NA,0,0,0,MNB,ASY
391,NA,1,1,1,MNB,ASY
392,NA,0,0,0,MNB,ASY
393,NA,0,0,0,MNB,ASY
394,NA,0,0,0,MNB,SY
395,NA,1,1,1,MNB,SY
396,NA,0,0,0,MNB,ASY
397,NA,0,0,0,MNB,ASY
398,NA,1,1,1,MNB,ASY
399,NA,0,0,0,MNB,ASY
400,NA,0,0,0,MNB,ASY
401,NA,0,0,0,MNB,ASY
402,NA,1,1,1,MNB,ASY
403,NA,0,0,0,MNB,SY
404,NA,1,1,1,MNB,ASY
405,NA,0,0,0,MNB,ASY
406,NA,0,0,0,MNB,ASY
407,NA,1,1,1,MNB,ASY
408,NA,1,1,1,MNB,ASY
409,NA,1,1,1,MNB,ASY
410,NA,1,1,1,MNB,ASY
411,NA,1,1,1,MNB,ASY
412,NA,1,1,1,MNB,ASY
413,NA,1,1,1,MNB,ASY
414,0,0,0,0,TN1,ASY
415,0,0,0,0,TN1,ASY
416,NA,1,1,1,NY,ASY
417,NA,1,0,1,MN,ASY
418,NA,1,1,1,MN,ASY
419,NA,1,1,1,MN,SY
420,NA,1,1,1,NC1,ASY
421,NA,1,1,1,NC1,ASY
422,NA,0,0,0,NC1,ASY
423,NA,1,1,1,NC,ASY
424,NA,1,1,1,NC,SY
425,NA,0,0,0,NY,ASY
426,NA,0,0,0,NY,AHY
427,NA,0,0,0,NY,AHY
428,NA,1,1,1,NY,ASY
429,NA,1,1,1,NY,ASY
430,NA,1,1,1,NY,SY
431,NA,1,1,1,NY,SY
432,NA,1,1,1,NY,ASY
433,NA,0,0,0,NY,ASY
434,NA,0,0,0,NY,SY
435,NA,1,0,1,NY,ASY
436,NA,0,0,0,NY,ASY
437,NA,1,1,1,NY,ASY
438,NA,1,0,1,NY,ASY
439,NA,1,1,1,NY,SY
440,NA,1,1,1,NY,SY
441,NA,0,0,0,NY,ASY
442,NA,0,0,0,NY,SY
443,NA,0,0,0,NY,ASY
444,NA,1,1,1,NY,SY
445,NA,1,1,1,NY,ASY
446,NA,0,0,0,NY,ASY
447,NA,1,0,1,NY,ASY
448,NA,0,0,0,NY,SY
449,NA,0,0,0,NY,ASY
450,NA,0,0,0,NY,SY
451,NA,1,1,1,NY,ASY
